업체코드,ID(작성자),리뷰 내용,작성일,평가 카테고리
1710381899,꽃잎134,전주맛집인치히로에왔어요역시..맛도리네요좋은분위기에좋은식사하구갑니다요,2026년 5월 29일 금요일,음식이 맛있어요_인테리어가 멋져요_
1710381899,jihun460121,직원분들다들친절하시고음식맛도너무좋아요~,2026년 5월 29일 금요일,음식이 맛있어요_재료가 신선해요_양이 많아요_특별한 메뉴가 있어요_
1465327582,노자17,전주에서제일맛있는닭갈비집이에요!전주사람인데도가요~~,2026년 6월 15일 월요일,음식이 맛있어요_고기 질이 좋아요_특별한 메뉴가 있어요_양이 많아요_가성비가 좋아요_
1465327582,disnshi9,맛있어요!!😆,2026년 6월 15일 월요일,음식이 맛있어요_양이 많아요_매장이 넓어요_매장이 청결해요_친절해요_
1465327582,몽이1004,맛있어요!!😆,2026년 6월 14일 일요일,음식이 맛있어요_
1465327582,골드866,맛있어요!!😆,2026년 6월 13일 토요일,음식이 맛있어요_매장이 넓어요_친절해요_
1465327582,윤디v,완전매콤하고닭갈비존맛이에오❤️,2026년 6월 13일 토요일,음식이 맛있어요_인테리어가 멋져요_매장이 넓어요_친절해요_
1465327582,나다1159,맛있어요!오랜만에왔는데여전히맛있습니다ㅎㅎ고르곤졸라는첨시켜봤는데이것도맛있어요.닭갈비매콤할때한입먹으니좋아요.,2026년 6월 13일 토요일,음식이 맛있어요_매장이 넓어요_
1465327582,Hw287,너무맛있고친절해서좋았어요🫰🏻💕💕,2026년 6월 12일 금요일,음식이 맛있어요_가성비가 좋아요_매장이 넓어요_아늑해요_친절해요_
1465327582,윤윤0120,세트구성좋고맛있어요!재방문할것같습니다!,2026년 6월 11일 목요일,음식이 맛있어요_고기 질이 좋아요_매장이 넓어요_매장이 청결해요_친절해요_
1465327582,Bazzi00,객사에서닭갈지누보처음와봤는데너무맛있게먹고가요~!!!매운맛인데딱적당히매워서넘맛있었어요!!,2026년 6월 11일 목요일,음식이 맛있어요_가성비가 좋아요_재료가 신선해요_건강한 맛이에요_잡내가 적어요_
1465327582,다롱이3446,너무맛있어요ㅠㅠ행복한맛이예요🩷🩷,2026년 6월 11일 목요일,음식이 맛있어요_고기 질이 좋아요_인테리어가 멋져요_
1465327582,son****,맛있어요,2026년 6월 11일 목요일,음식이 맛있어요_
1465327582,gmldms1,닭갈비는누보만먹어요~다른곳은심심하고가격도비싸고잘안가는데여기는푸짐하고맛도심심하지않아서좋아요👍,2026년 6월 10일 수요일,음식이 맛있어요_양이 많아요_친절해요_매장이 청결해요_아이와 가기 좋아요_
1465327582,sssssmmmmmhehe,객사에서닭갈비.먹을때여기만옵니다!!진짜맛있어요!!❤,2026년 6월 10일 수요일,음식이 맛있어요_고기 질이 좋아요_친절해요_매장이 넓어요_단체모임 하기 좋아요_
1465327582,dda****,올때마다깨끗하고맛도좋고직원도친절하세요~,2026년 6월 8일 월요일,음식이 맛있어요_재료가 신선해요_인테리어가 멋져요_친절해요_직접 잘 구워줘요_
1465327582,준이예요,맛이어요전주여행와서잘먹고갑니다,2026년 6월 8일 월요일,음식이 맛있어요_고기 질이 좋아요_양이 많아요_특별한 메뉴가 있어요_가성비가 좋아요_
1465327582,머스탱이,맛있습니다~👍,2026년 6월 8일 월요일,음식이 맛있어요_가성비가 좋아요_매장이 넓어요_친절해요_매장이 청결해요_
1465327582,김민경95,역시닭갈비는누보닭갈비!!담에또올거에요너무맛있어요❤️❤️😋😋,2026년 6월 7일 일요일,음식이 맛있어요_양이 많아요_매장이 넓어요_친절해요_매장이 청결해요_
1465327582,jja****,너무맛잇어요,2026년 6월 7일 일요일,음식이 맛있어요_인테리어가 멋져요_친절해요_
1465327582,푸딩74,여자친구소개로같이왔는데진짜맛있네요^^다음에도무조건다시올거여서그땐우동사리말고라면사리넣어서먹어보겠습니다!,2026년 6월 6일 토요일,음식이 맛있어요_고기 질이 좋아요_양이 많아요_특별한 메뉴가 있어요_매장이 넓어요_
1465327582,26262,맛있어요!,2026년 6월 6일 토요일,음식이 맛있어요_인테리어가 멋져요_매장이 넓어요_친절해요_매장이 청결해요_
1465327582,sm****,맛있어요!,2026년 6월 5일 금요일,음식이 맛있어요_가성비가 좋아요_뷰가 좋아요_
1465327582,kangsg82380,영화보러왔다가들렀는데티켓소지자라서토핑도추가해주고무엇보다맛이좋아요ㅎㅎ맵기선택도가능하고매장이깔끔하고넓어서좋아요!잘먹고갑니다ㅎㅎ,2026년 6월 5일 금요일,음식이 맛있어요_고기 질이 좋아요_인테리어가 멋져요_매장이 넓어요_친절해요_
1465327582,바이크좋아,매번자주옵니다.여전히맛있네요ㅎㅎ감사합니다,2026년 6월 5일 금요일,음식이 맛있어요_양이 많아요_인테리어가 멋져요_매장이 넓어요_친절해요_
1465327582,안뇽928,오늘처음왔는데닭갈비가살짝매콤하면서진짜맛잇어요ㅋㅋㅋㅋㅋㅋ2인분인데양도많고쫄면사리추가해서먹으니까더맛있네요다음에또올게요,2026년 6월 5일 금요일,음식이 맛있어요_매장이 넓어요_친절해요_매장이 청결해요_
1465327582,wjd****,금요일에가서그런지음식나오는데시간이걸렸지만여전히맛나요ㅎㅎ,2026년 6월 5일 금요일,음식이 맛있어요_양이 많아요_
1465327582,주은4214,친구들끼리오기좋아요!👍🏻,2026년 6월 4일 목요일,음식이 맛있어요_양이 많아요_메뉴 구성이 알차요_인테리어가 멋져요_친절해요_
1465327582,fdsa12,맛있게잘먹고가요~~,2026년 6월 4일 목요일,음식이 맛있어요_양이 많아요_가성비가 좋아요_
1465327582,사랑이별65,누보닭갈비너무맛있어요~~,2026년 6월 3일 수요일,음식이 맛있어요_고기 질이 좋아요_
1465327582,vernal23,시간적제약으로늘배달만시켰는데직접매장와서먹으니훨씬맛있네요.사이드로시킨고르곤졸라피자도전문점못지않아요^^,2026년 6월 3일 수요일,음식이 맛있어요_인테리어가 멋져요_친절해요_매장이 청결해요_
